ImpossibleImage v1.105.8740.26496
---------------------------------
Computer:        NANOMET01
User:            Lyu
DateTime:        Thursday, 11 January 2024, 10:28:49
Measurement:     G:\group-folder\Users\Zhouping Lyu\measurement\move_zstage00001.iic
StoragePath:     G:\group-folder\Student practicum\student practicum 2023 winter\WFS_data\2024-01-11\15_segm\2024-01-11

Wavefront Shaping
-----------------
Pattern
Phases:              0 ; 2/3pi ; 4/3pi
k-space:             15
k-subspace:          15
Number of Patterns:  675
Spot Grating X:      1
Spot Grating Y:      1
Reference segments:  15
Reference Grating X: 1
Reference Grating Y: 1
Random Seed:         No
ImageConstruct:      5,3,0,25

DMD
---
Active Area:          550x550 at 780,650
BitDepth:             1
DisplayRate [Hz]:     40.0
ExposureTime [ms]:    1.2
UnInterrupted Mode:   NO
SyncDelay [µs]:       0
DutyCycle Modulation: NO
DutyCycle Threshold:  0.0 %

Camera1
-------
Model:                acA2040-120um
DeviceID:             23845526
PixelFormat:          Mono12
Gain:                 0
Region:               {X=272, Y=128, Width=1300, Height=1300}
Binning:              1 x 1

Measurement
-----------
Type:                 Spots
Number of Targets:    5 x 5 = 25
Distance:             160
Diameter:             4
Center:               614, 610
Angle:                45 °
Keep Images:          YES
BigTiff:              YES
Tiff Compression:     YES

Calculated Phases
-----------------
Segment	E_Interference
0=(0,0)	(19.675139 ∟ -0.591418), (9.018500 ∟ -0.064062), (18.027756 ∟ -0.804634), (37.322915 ∟ 1.884014), (31.432467 ∟ -2.975519), (2.666667 ∟ 1.047198), (11.566234 ∟ -0.465928), (82.280685 ∟ 0.317560), (40.826190 ∟ 0.445956), (65.000000 ∟ -1.532325), (3.844188 ∟ -2.399482), (36.897757 ∟ -1.457630), (21.656408 ∟ 1.593886), (27.094485 ∟ -2.233349), (24.935472 ∟ -2.524282), (18.009257 ∟ -1.079262), (23.254629 ∟ 0.087005), (20.074860 ∟ -2.008008), (69.637155 ∟ 1.264465), (12.018504 ∟ -2.899029), (39.962482 ∟ 0.152285), (27.934447 ∟ 2.270990), (49.095146 ∟ -2.885982), (41.898024 ∟ 1.234316), (10.744508 ∟ -2.509197), (135.978348 ∟ 2.631477), (50.269275 ∟ -2.657790), (71.164130 ∟ 1.263882), (22.228610 ∟ 0.516101), (26.585293 ∟ -0.783551), (3.511885 ∟ 0.082292), (55.668663 ∟ -0.077863), (56.447616 ∟ -2.321356), (59.506302 ∟ -0.014554), (80.237841 ∟ -1.346669), (161.313704 ∟ 1.136794), (74.959989 ∟ 1.896706), (28.262657 ∟ 0.659651), (147.596673 ∟ 2.170747), (27.061658 ∟ 2.375430), (218.903581 ∟ -2.676653), (67.438861 ∟ -0.840258), (51.539629 ∟ 0.601287), (34.352745 ∟ 1.830854), (22.922575 ∟ -2.182664), (19.784955 ∟ -0.735785), (36.829940 ∟ -0.761142), (22.143472 ∟ -0.659497), (137.157250 ∟ -2.364982), (37.634204 ∟ -0.751423), (35.801924 ∟ -1.209167), (61.460014 ∟ 3.019166), (90.866813 ∟ -1.171416), (101.436351 ∟ 2.706836), (44.945646 ∟ 1.117907), (58.458912 ∟ -1.384404), (46.198846 ∟ 2.596347), (69.441422 ∟ -2.402726), (26.390234 ∟ 2.028716), (89.648077 ∟ 2.677521), (68.505474 ∟ 0.012642), (30.501366 ∟ 0.009464), (78.575512 ∟ -1.357063), (72.569507 ∟ 0.043771), (128.234161 ∟ 0.554797), (29.137605 ∟ -2.303979), (93.810684 ∟ 0.991779), (128.702499 ∟ -0.410696), (96.888825 ∟ 2.845290), (86.315313 ∟ 1.221996), (9.291573 ∟ -1.678630), (36.974466 ∟ 0.487530), (13.531855 ∟ -1.218701), (112.429237 ∟ 0.087410), (34.385074 ∟ 1.527159), (24.340182 ∟ 2.118117), (27.666667 ∟ -2.094395), (104.215055 ∟ 3.111118), (92.982675 ∟ 1.925951), (65.029053 ∟ 2.286458), (105.821128 ∟ -0.147848), (47.361494 ∟ 1.542640), (38.436094 ∟ 1.943614), (120.349953 ∟ -2.958272), (84.008597 ∟ -2.397992), (119.399888 ∟ -2.902382), (95.063137 ∟ -0.703394), (95.859272 ∟ 0.302736), (119.344506 ∟ 1.356898), (19.099156 ∟ -1.260413), (13.932376 ∟ -2.847286), (56.006944 ∟ 0.347111), (90.467305 ∟ 1.620559), (22.363164 ∟ -0.051657), (14.240006 ∟ 0.945663), (95.928793 ∟ -0.612323), (28.023799 ∟ 0.041216), (161.456220 ∟ 2.467750), (76.210965 ∟ 2.613620), (133.211611 ∟ 0.990825), (77.090855 ∟ -3.017704), (72.943662 ∟ 1.134373), (82.914280 ∟ 1.742498), (13.666667 ∟ 0.000000), (66.091687 ∟ -1.779083), (73.044127 ∟ -2.914375), (82.179343 ∟ 2.076830), (54.409966 ∟ 0.053080), (29.297326 ∟ -0.695102), (47.893400 ∟ -1.838457), (56.959050 ∟ -0.920153), (124.673351 ∟ 1.749545), (109.505454 ∟ -2.407939), (70.076942 ∟ 0.885842), (129.747190 ∟ 0.206148), (94.500441 ∟ -1.253322), (61.986558 ∟ -0.710204), (148.028150 ∟ -1.027695), (103.273639 ∟ 3.049218), (87.525869 ∟ 1.534609), (54.840172 ∟ -2.110188), (14.518188 ∟ 0.887449), (108.511648 ∟ 1.936785), (191.737089 ∟ -3.114489), (55.985117 ∟ -0.621998), (22.556103 ∟ -2.447218), (65.156223 ∟ -0.646691), (86.434947 ∟ 0.946835), (58.450359 ∟ -0.777235), (29.632940 ∟ 2.505268), (85.640722 ∟ -1.104532), (97.980157 ∟ 1.239895), (122.203837 ∟ 2.538808), (77.948701 ∟ 0.510769), (111.956837 ∟ -0.402722), (25.621172 ∟ 1.321016), (66.204229 ∟ 2.015828), (48.416021 ∟ 2.195930), (49.759421 ∟ 1.222131), (171.817733 ∟ 2.377044), (146.374330 ∟ -1.555994), (62.649820 ∟ -0.069171), (85.035287 ∟ -1.982132), (84.789937 ∟ 2.231003), (81.297806 ∟ 1.731392), (110.617961 ∟ -0.491953), (92.636086 ∟ -2.854071), (13.892444 ∟ -1.498752), (196.166596 ∟ 2.203509), (133.273320 ∟ -0.951747), (31.761262 ∟ -0.544590), (84.091881 ∟ 0.569200), (29.762019 ∟ -1.424677), (71.601521 ∟ -0.367004), (80.002083 ∟ -0.554853), (70.852742 ∟ 2.726412), (49.507575 ∟ 2.341811), (48.834187 ∟ -1.615179), (22.908029 ∟ -1.665519), (120.784013 ∟ -1.526626), (95.701504 ∟ 1.887813), (92.592896 ∟ 0.252076), (93.961576 ∟ -2.673009), (145.334480 ∟ -3.137620), (78.996484 ∟ 0.863451), (21.941842 ∟ 1.555604), (14.075195 ∟ 2.955943), (17.891649 ∟ -0.080761), (57.475599 ∟ 1.602699), (94.608550 ∟ -0.174811), (80.214296 ∟ -0.133552), (80.295980 ∟ 2.584777), (79.588525 ∟ -2.453919), (65.526924 ∟ 2.407886), (125.785973 ∟ -0.775350), (233.992403 ∟ 3.000484), (162.543328 ∟ -1.024108), (45.967380 ∟ -2.672407), (83.500499 ∟ 0.003457), (26.822462 ∟ 1.821977), (20.341528 ∟ -0.638560), (33.765531 ∟ -2.746685), (23.596139 ∟ 0.388990), (40.184298 ∟ -1.624741), (29.537171 ∟ -1.164747), (80.011110 ∟ -1.177451), (38.645109 ∟ -2.984074), (126.248872 ∟ -2.938993), (127.791932 ∟ -1.340531), (58.241833 ∟ 2.485976), (85.424431 ∟ -2.417650), (165.349462 ∟ 1.033230), (41.682664 ∟ -1.074903), (29.168095 ∟ 2.589420), (6.887993 ∟ -0.921134), (2.333333 ∟ -2.761341), (20.300520 ∟ -0.832245), (26.339662 ∟ 2.783263), (42.215058 ∟ -2.407190), (58.941591 ∟ -1.932061), (7.000000 ∟ -1.047198), (99.279068 ∟ -1.969035), (52.167465 ∟ -1.041664), (66.111858 ∟ 3.049768), (64.784257 ∟ 2.188107), (21.403530 ∟ -2.992683), (66.362640 ∟ -2.198985), (66.455499 ∟ -1.319885), (16.904963 ∟ -1.709265), (9.837570 ∟ -2.123743), (18.460167 ∟ -1.743189), (9.938701 ∟ -2.240138), (30.038864 ∟ -2.584698), (21.543238 ∟ 0.257430), (29.801193 ∟ 0.732032), (52.928673 ∟ 2.971701), (61.017302 ∟ -2.392097), (27.622455 ∟ 0.953002), (15.246129 ∟ -0.347787), (151.561869 ∟ 0.763418), (31.756014 ∟ -2.607497), (52.282353 ∟ -0.558672), (62.521996 ∟ 1.913338), (27.024680 ∟ 0.042741), (22.392955 ∟ 2.236679)
