ImpossibleImage v1.105.8740.26496
---------------------------------
Computer:        NANOMET01
User:            Lyu
DateTime:        Thursday, 11 January 2024, 10:09:37
Measurement:     G:\group-folder\Users\Zhouping Lyu\measurement\move_zstage00001.iic
StoragePath:     G:\group-folder\Student practicum\student practicum 2023 winter\WFS_data\2024-01-11\6_phase\2024-01-11

Wavefront Shaping
-----------------
Pattern
Phases:              0 ; 1/3pi ; 2/3pi ; pi ; 4/3pi ; 5/3pi
k-space:             20
k-subspace:          20
Number of Patterns:  2400
Spot Grating X:      1
Spot Grating Y:      1
Reference segments:  20
Reference Grating X: 1
Reference Grating Y: 1
Random Seed:         No
ImageConstruct:      5,3,0,25

DMD
---
Active Area:          550x550 at 780,650
BitDepth:             1
DisplayRate [Hz]:     40.0
ExposureTime [ms]:    1.2
UnInterrupted Mode:   NO
SyncDelay [µs]:       0
DutyCycle Modulation: NO
DutyCycle Threshold:  0.0 %

Camera1
-------
Model:                acA2040-120um
DeviceID:             23845526
PixelFormat:          Mono12
Gain:                 0
Region:               {X=272, Y=128, Width=1300, Height=1300}
Binning:              1 x 1

Measurement
-----------
Type:                 Spots
Number of Targets:    5 x 5 = 25
Distance:             160
Diameter:             4
Center:               614, 610
Angle:                45 °
Keep Images:          YES
BigTiff:              YES
Tiff Compression:     YES

Calculated Phases
-----------------
Segment	E_Interference
0=(0,0)	(9.134793 ∟ -1.772867), (13.288466 ∟ -1.123304), (4.146618 ∟ 1.222131), (5.946521 ∟ 2.716248), (28.888194 ∟ 2.239803), (12.836580 ∟ -0.022490), (37.189828 ∟ 2.862422), (20.851326 ∟ 0.338706), (3.562926 ∟ 2.854071), (34.557119 ∟ 1.274701), (17.816971 ∟ -0.129984), (46.776953 ∟ 0.700895), (52.836488 ∟ -1.036270), (25.001667 ∟ 1.520779), (19.083879 ∟ -1.435012), (19.750527 ∟ -1.039889), (14.833333 ∟ 0.000000), (14.268263 ∟ -0.996596), (12.457706 ∟ -2.895815), (13.559539 ∟ -2.759821), (6.405293 ∟ 2.748464), (12.669956 ∟ 1.069984), (22.407216 ∟ -0.579413), (13.877440 ∟ -1.958768), (33.338333 ∟ 1.731463), (22.980668 ∟ -1.827441), (6.658328 ∟ 2.542829), (34.217848 ∟ -0.830375), (8.950481 ∟ -0.542221), (36.504566 ∟ -1.063014), (25.980762 ∟ -0.523599), (28.718945 ∟ -1.471978), (16.192419 ∟ -1.163339), (22.271057 ∟ 2.250572), (119.632191 ∟ -2.489470), (13.908431 ∟ -1.151162), (43.998422 ∟ 0.268953), (24.828299 ∟ -1.584222), (14.950845 ∟ -2.026765), (5.674015 ∟ -1.226221), (11.514484 ∟ 2.309142), (9.134793 ∟ 0.725669), (21.577380 ∟ -0.442406), (17.854349 ∟ -2.372841), (51.193533 ∟ 0.928502), (19.524202 ∟ -0.386588), (25.531571 ∟ -2.219091), (28.977482 ∟ 1.212321), (62.300571 ∟ 2.356880), (31.290307 ∟ -0.363117), (74.500000 ∟ 2.094395), (28.452202 ∟ 0.955756), (17.400511 ∟ 0.619528), (26.524098 ∟ 0.349928), (110.864908 ∟ -3.051639), (47.525724 ∟ 0.876292), (54.041137 ∟ 0.929406), (11.889538 ∟ -3.044320), (8.743251 ∟ -3.009138), (11.366373 ∟ 1.123463), (2.565801 ∟ -2.914632), (22.439425 ∟ 1.002156), (35.865877 ∟ -1.680218), (16.315466 ∟ -1.760922), (7.751344 ∟ -2.113017), (72.785263 ∟ -0.815084), (40.770019 ∟ 1.628059), (98.395037 ∟ 0.814805), (71.949249 ∟ 2.064299), (67.211110 ∟ -2.284521), (42.626609 ∟ 1.934569), (92.833782 ∟ 2.097505), (6.125992 ∟ -0.118082), (134.218830 ∟ -2.539061), (66.160369 ∟ -2.577677), (18.908405 ∟ 1.447079), (64.371534 ∟ 0.281753), (8.036376 ∟ -1.414619), (2.929733 ∟ -1.742300), (15.336050 ∟ -0.018824), (14.131328 ∟ -0.205728), (10.932876 ∟ 1.300747), (19.027028 ∟ -0.730928), (22.001894 ∟ -2.081274), (114.827044 ∟ -2.169887), (86.108943 ∟ -1.814165), (75.529795 ∟ 0.143820), (17.354954 ∟ -2.044474), (37.539979 ∟ -3.095437), (57.087652 ∟ -0.690787), (74.903456 ∟ -1.906372), (85.381985 ∟ 2.274560), (18.888562 ∟ 0.153432), (66.612686 ∟ -2.958560), (20.063095 ∟ 2.348931), (37.158818 ∟ 1.961941), (49.000283 ∟ 2.739037), (15.885003 ∟ -2.649475), (41.569553 ∟ 3.002254), (20.434856 ∟ 2.229004), (26.282652 ∟ -0.491887), (19.041621 ∟ -0.871960), (16.371554 ∟ -0.610239), (36.389483 ∟ 0.429569), (18.454900 ∟ -2.992439), (18.811196 ∟ 2.688933), (148.245386 ∟ 0.206911), (91.491955 ∟ -2.915656), (25.485835 ∟ 0.073691), (50.219795 ∟ 0.046002), (77.358652 ∟ -1.387723), (64.701880 ∟ 2.517363), (71.338590 ∟ 0.772642), (39.881421 ∟ 0.200393), (11.424875 ∟ 0.920523), (55.088061 ∟ -1.060299), (40.442346 ∟ -2.655092), (10.125600 ∟ 0.457711), (89.734330 ∟ 0.570979), (33.452703 ∟ -2.821166), (35.351018 ∟ -0.268612), (24.172988 ∟ 0.927491), (37.418059 ∟ -0.931215), (31.898711 ∟ -1.187933), (49.675894 ∟ 0.441306), (44.358702 ∟ -0.355612), (14.054458 ∟ -0.302415), (25.536466 ∟ 1.217587), (73.868690 ∟ 1.103893), (26.656769 ∟ 2.202901), (50.261262 ∟ -1.457812), (87.559662 ∟ 2.544645), (60.834703 ∟ 1.679225), (65.143645 ∟ 2.192040), (13.280102 ∟ 0.916400), (42.045940 ∟ -0.569200), (21.623675 ∟ 2.722235), (96.728141 ∟ 0.068695), (65.531375 ∟ 2.712236), (59.220867 ∟ -0.698985), (18.020821 ∟ 0.048075), (68.801849 ∟ 2.463557), (53.291911 ∟ -1.794710), (53.960634 ∟ 2.412703), (109.017328 ∟ 1.886356), (29.022979 ∟ 2.284521), (10.592188 ∟ 0.421143), (87.209199 ∟ 0.216855), (33.993872 ∟ 2.932008), (36.231125 ∟ 0.915350), (5.008326 ∟ 3.083922), (100.280579 ∟ 3.010236), (100.727768 ∟ -2.425702), (31.317372 ∟ -2.832510), (32.046841 ∟ -3.087519), (52.361988 ∟ -0.279269), (57.197271 ∟ 0.063130), (99.075028 ∟ 0.931851), (26.628619 ∟ -0.789600), (46.224392 ∟ 1.610468), (14.475074 ∟ 0.140058), (47.334214 ∟ 1.495021), (25.564189 ∟ 0.939715), (48.967960 ∟ 1.531645), (27.295197 ∟ 2.651584), (15.394804 ∟ 1.274159), (15.166667 ∟ -1.152074), (68.173186 ∟ -0.560278), (20.389949 ∟ -0.462256), (87.319496 ∟ 1.699030), (64.680626 ∟ 1.593989), (46.036519 ∟ 2.728639), (77.465225 ∟ 1.082607), (34.111337 ∟ -2.809719), (34.893887 ∟ 0.444707), (38.655530 ∟ 1.136933), (76.270535 ∟ 1.497526), (28.175541 ∟ 1.279816), (25.449842 ∟ 0.329186), (107.677889 ∟ -2.231551), (54.416858 ∟ -2.625651), (14.571662 ∟ -1.433109), (61.604248 ∟ 1.257264), (47.720541 ∟ -0.323184), (44.872969 ∟ -0.973149), (56.628418 ∟ -1.679910), (59.642220 ∟ -3.039774), (37.948796 ∟ 0.607142), (88.633296 ∟ 1.585840), (153.748803 ∟ -2.749539), (100.833747 ∟ 3.138730), (62.364520 ∟ 1.764421), (13.419513 ∟ 0.729986), (66.424351 ∟ -0.887898), (138.198328 ∟ 2.920466), (35.994212 ∟ -2.877896), (85.382961 ∟ -2.150210), (44.583567 ∟ -2.507489), (126.002976 ∟ -3.134720), (87.785724 ∟ 0.252596), (40.458140 ∟ -2.015828), (28.025782 ∟ -0.565239), (12.854960 ∟ 2.833585), (73.702292 ∟ 2.151219), (45.621632 ∟ 2.259664), (66.499582 ∟ -0.997255), (49.008786 ∟ 1.666162), (68.161777 ∟ -0.325469), (84.818106 ∟ 1.354940), (31.370103 ∟ 2.006862), (58.851036 ∟ -0.227598), (82.933876 ∟ 0.706488), (81.848946 ∟ 0.538871), (100.618504 ∟ -0.506205), (30.646279 ∟ -0.635318), (51.499461 ∟ -0.858295), (95.579955 ∟ -0.186830), (38.585763 ∟ 1.390568), (52.617329 ∟ -0.928967), (27.662148 ∟ 2.374594), (45.598794 ∟ -1.170963), (79.249781 ∟ -2.778515), (61.545602 ∟ 0.566941), (46.095312 ∟ 2.201061), (137.220726 ∟ -2.936088), (65.279740 ∟ -0.737126), (68.685475 ∟ -2.991832), (37.497037 ∟ -1.268408), (71.100281 ∟ -0.775915), (40.589750 ∟ 0.484581), (49.487372 ∟ 0.594383), (42.848895 ∟ -1.020246), (40.565790 ∟ 2.636483), (94.161209 ∟ -1.285510), (51.561452 ∟ -1.459046), (93.922101 ∟ 1.416691), (108.474395 ∟ 2.655646), (62.740205 ∟ 1.134731), (73.518894 ∟ 0.159703), (103.927860 ∟ -0.513977), (17.374151 ∟ 0.760841), (46.109471 ∟ 1.290630), (77.167747 ∟ 3.094815), (28.571548 ∟ 2.477533), (33.137340 ∟ 0.894150), (63.097147 ∟ 2.717210), (65.739596 ∟ 3.009473), (110.995621 ∟ -1.276777), (18.974398 ∟ 0.122014), (68.530002 ∟ -1.845405), (18.909874 ∟ -1.584017), (49.519637 ∟ 1.548918), (72.549600 ∟ 1.706754), (115.252260 ∟ -0.280433), (51.389309 ∟ -1.494507), (84.475999 ∟ 3.083467), (25.934212 ∟ 0.816983), (90.391279 ∟ 2.150313), (50.703660 ∟ 1.485228), (77.262719 ∟ -0.838318), (19.421494 ∟ -2.954711), (54.484198 ∟ 0.276369), (13.923402 ∟ 2.125500), (49.553843 ∟ -0.046621), (20.077627 ∟ -2.297071), (39.115570 ∟ 2.952272), (42.603143 ∟ -1.604055), (25.020547 ∟ -0.586922), (53.200877 ∟ -0.086928), (117.124933 ∟ 2.457217), (72.068447 ∟ -2.521872), (41.581246 ∟ -1.546745), (64.851968 ∟ -2.861983), (48.223726 ∟ 2.699302), (94.942673 ∟ 0.728665), (68.228171 ∟ 1.288588), (74.628152 ∟ 0.535882), (130.167520 ∟ -2.948563), (50.674067 ∟ -1.549416), (117.631605 ∟ 0.071228), (32.838409 ∟ -0.017582), (56.742351 ∟ 1.283412), (37.935252 ∟ -0.444434), (29.930939 ∟ -2.332947), (35.828682 ∟ -1.977300), (117.075949 ∟ 0.196044), (42.416912 ∟ 0.226519), (61.625437 ∟ -2.352550), (19.099156 ∟ -1.927359), (43.570186 ∟ -0.634760), (53.150990 ∟ -1.213617), (39.310728 ∟ 0.702622), (133.096874 ∟ -1.110137), (113.593941 ∟ -2.917355), (88.186513 ∟ 1.490388), (74.614751 ∟ -1.076218), (167.350016 ∟ -2.590603), (72.844011 ∟ -2.932008), (104.168267 ∟ -2.662007), (30.500000 ∟ 2.222520), (37.497037 ∟ 2.695856), (20.176995 ∟ 0.756999), (12.875472 ∟ 0.866857), (12.437622 ∟ -2.036338), (37.914744 ∟ 1.312992), (45.238565 ∟ -0.671504), (29.354632 ∟ 2.888119), (44.167610 ∟ -0.006536), (149.269704 ∟ 2.553189), (133.519974 ∟ -2.420105), (55.046193 ∟ 0.851922), (65.773813 ∟ 2.761655), (68.211273 ∟ 0.213216), (73.107797 ∟ -2.765572), (85.489928 ∟ -2.959941), (132.973786 ∟ -1.017886), (10.476163 ∟ 1.886229), (63.942031 ∟ 0.147257), (58.717544 ∟ 0.677482), (19.702651 ∟ 0.937088), (8.892881 ∟ 0.382570), (18.930428 ∟ 1.619238), (31.868218 ∟ -1.800305), (22.716245 ∟ -1.640553), (29.741012 ∟ -1.548379), (58.688680 ∟ -0.818958), (24.705487 ∟ 3.042109), (57.606664 ∟ -1.467907), (49.769748 ∟ 2.880528), (79.881336 ∟ -2.477744), (70.663718 ∟ 1.192735), (101.669945 ∟ -1.994854), (61.762313 ∟ 3.012702), (83.690402 ∟ -1.289283), (52.271726 ∟ -2.969545), (127.282167 ∟ 0.707295), (71.105555 ∟ -1.343835), (24.410267 ∟ 1.763157), (24.386358 ∟ -2.351734), (16.333333 ∟ -2.474646), (8.693868 ∟ -1.368120), (10.515861 ∟ -1.102128), (18.855444 ∟ 1.334361), (16.709113 ∟ 2.503033), (63.516402 ∟ -1.736870), (46.049792 ∟ 0.539886), (71.380631 ∟ -2.258925), (46.355810 ∟ -1.078339), (35.345910 ∟ 2.533016), (95.799414 ∟ -1.169542), (88.521811 ∟ -2.514255), (81.374136 ∟ -2.190325), (38.110949 ∟ 1.818212), (80.348373 ∟ 1.823428), (72.121040 ∟ -2.467213), (23.835082 ∟ 2.106507), (86.991060 ∟ -1.210527), (91.176112 ∟ 3.044875), (26.789820 ∟ 1.838382), (20.595981 ∟ 2.129443), (23.857796 ∟ -0.583013), (15.506271 ∟ -2.243885), (7.418071 ∟ 2.113854), (12.262182 ∟ -0.373525), (22.620664 ∟ 1.181598), (47.850752 ∟ -2.300977), (54.964382 ∟ 1.809576), (25.623882 ∟ -1.797124), (109.047900 ∟ -1.809969), (79.792091 ∟ 2.672328), (49.119186 ∟ -1.008988), (78.602552 ∟ 1.441090), (55.742713 ∟ 0.953845), (37.387981 ∟ -0.054074), (50.047755 ∟ -2.392980), (43.821608 ∟ -1.467926), (27.013885 ∟ 1.459513), (18.643587 ∟ -0.658098), (13.694078 ∟ -3.078310), (9.207485 ∟ 0.286055), (10.692677 ∟ 2.664772), (3.752777 ∟ -2.132866), (14.623991 ∟ -0.878612), (1.452966 ∟ 1.455835), (14.908052 ∟ -1.281706), (11.071736 ∟ 0.659497), (30.599564 ∟ 0.523599), (46.085368 ∟ -3.132197), (50.252971 ∟ -1.835898), (18.686745 ∟ -1.485964), (51.601303 ∟ 0.766611), (19.609380 ∟ -1.098745), (101.341968 ∟ 0.731490), (73.262845 ∟ -0.718192), (50.135649 ∟ 1.970282), (37.941841 ∟ -0.152761), (21.852409 ∟ -2.690513), (28.680714 ∟ 0.654724), (28.884829 ∟ -1.536169), (16.187272 ∟ -2.566490)
