ImpossibleImage v1.105.8740.26496
---------------------------------
Computer:        NANOMET01
User:            Lyu
DateTime:        Thursday, 11 January 2024, 10:24:54
Measurement:     G:\group-folder\Users\Zhouping Lyu\measurement\move_zstage00001.iic
StoragePath:     G:\group-folder\Student practicum\student practicum 2023 winter\WFS_data\2024-01-11\10_segm\2024-01-11

Wavefront Shaping
-----------------
Pattern
Phases:              0 ; 2/3pi ; 4/3pi
k-space:             10
k-subspace:          10
Number of Patterns:  300
Spot Grating X:      1
Spot Grating Y:      1
Reference segments:  10
Reference Grating X: 1
Reference Grating Y: 1
Random Seed:         No
ImageConstruct:      5,3,0,25

DMD
---
Active Area:          550x550 at 780,650
BitDepth:             1
DisplayRate [Hz]:     40.0
ExposureTime [ms]:    1.2
UnInterrupted Mode:   NO
SyncDelay [µs]:       0
DutyCycle Modulation: NO
DutyCycle Threshold:  0.0 %

Camera1
-------
Model:                acA2040-120um
DeviceID:             23845526
PixelFormat:          Mono12
Gain:                 0
Region:               {X=272, Y=128, Width=1300, Height=1300}
Binning:              1 x 1

Measurement
-----------
Type:                 Spots
Number of Targets:    5 x 5 = 25
Distance:             160
Diameter:             4
Center:               614, 610
Angle:                45 °
Keep Images:          YES
BigTiff:              YES
Tiff Compression:     YES

Calculated Phases
-----------------
Segment	E_Interference
0=(0,0)	(4.702245 ∟ 2.217488), (48.387326 ∟ -1.778962), (23.333333 ∟ 1.427449), (31.497795 ∟ 0.720652), (44.162578 ∟ -0.637060), (42.678384 ∟ -0.780243), (59.917536 ∟ 3.088571), (136.719908 ∟ -2.274845), (46.436336 ∟ 0.137195), (13.383240 ∟ -1.445938), (30.552323 ∟ 0.337044), (102.567593 ∟ -1.823726), (147.865179 ∟ -0.494289), (177.449836 ∟ 1.310518), (90.123989 ∟ 2.284521), (246.540283 ∟ 2.149455), (65.077731 ∟ -2.245792), (55.895736 ∟ -2.355581), (85.860999 ∟ 1.114491), (27.606360 ∟ -0.178716), (49.937739 ∟ -0.104241), (86.689741 ∟ -0.893413), (132.035770 ∟ -2.426216), (124.130308 ∟ -0.258690), (94.209577 ∟ -0.687084), (120.072663 ∟ -3.018671), (78.008547 ∟ -0.014803), (61.002732 ∟ 2.084931), (134.288661 ∟ -2.454684), (127.421871 ∟ 1.353266), (96.671839 ∟ 1.242536), (91.269442 ∟ -2.250004), (154.370766 ∟ 1.271608), (115.768447 ∟ 0.198288), (152.073447 ∟ 1.422296), (234.475538 ∟ 2.953348), (261.103002 ∟ -3.009644), (134.923435 ∟ -0.079246), (277.345152 ∟ 0.741660), (100.593793 ∟ -1.302496), (18.621970 ∟ 2.492364), (101.838107 ∟ 0.884911), (100.533576 ∟ -1.021352), (65.261866 ∟ -0.878309), (165.551939 ∟ 2.768565), (154.320374 ∟ 2.353562), (91.221952 ∟ -0.034817), (94.067942 ∟ 2.899880), (85.831877 ∟ -2.869175), (80.523978 ∟ 0.378203), (102.859667 ∟ -2.323726), (196.426690 ∟ 2.145855), (76.173049 ∟ -1.961363), (72.457650 ∟ -2.620294), (134.502788 ∟ 1.053636), (119.625805 ∟ 0.334385), (148.361421 ∟ -0.399710), (77.513440 ∟ 0.685568), (132.808551 ∟ 1.297599), (130.425372 ∟ 0.284934), (97.160234 ∟ 0.465243), (31.991318 ∟ 0.947775), (51.121859 ∟ 2.729068), (88.170920 ∟ -2.104217), (75.580715 ∟ -2.372984), (127.335515 ∟ -2.547255), (73.259812 ∟ 1.322554), (141.545438 ∟ 0.362769), (237.203148 ∟ 2.953060), (118.617499 ∟ -0.173662), (45.077711 ∟ 1.615179), (14.437605 ∟ -0.500509), (124.319928 ∟ 0.163267), (60.600697 ∟ 0.329872), (289.755644 ∟ -2.704381), (80.046514 ∟ 0.898793), (158.657913 ∟ -1.700367), (131.306681 ∟ -0.771091), (67.508847 ∟ -2.235979), (81.780873 ∟ -2.913714), (25.942244 ∟ 1.824051), (44.185216 ∟ -1.138792), (166.842241 ∟ -1.111260), (78.167200 ∟ -1.139655), (121.113354 ∟ -1.843898), (185.704963 ∟ -2.181556), (133.521950 ∟ 2.831819), (43.247351 ∟ 1.154201), (117.528720 ∟ -1.886581), (25.514702 ∟ -1.081146), (4.055175 ∟ 1.488504), (24.995555 ∟ -1.931995), (20.537229 ∟ -2.797494), (65.056386 ∟ 2.313574), (107.372146 ∟ -2.386193), (90.603532 ∟ 1.095008), (166.121442 ∟ 0.342012), (46.762996 ∟ -0.412887), (49.601747 ∟ 2.158457), (29.236583 ∟ 2.543818)
1=(0,1)	(32.603681 ∟ 0.079771), (105.697682 ∟ 2.876302), (113.582569 ∟ 0.342119), (200.515170 ∟ 1.387745), (184.044379 ∟ -2.072434), (281.623863 ∟ 2.254990), (198.872656 ∟ 1.301034), (135.739947 ∟ -1.893131), (110.960954 ∟ 2.185577), (53.361451 ∟ 3.109128), (129.383581 ∟ -0.766877), (213.213769 ∟ 2.370010), (65.615886 ∟ -2.986996), (120.500807 ∟ 1.877082), (181.712532 ∟ 0.167590), (146.552986 ∟ 1.306152), (324.310037 ∟ -0.723818), (93.473704 ∟ -1.277770), (57.649323 ∟ -0.227286), (9.073772 ∟ 0.127603), (136.626417 ∟ -2.212994), (247.063645 ∟ 1.763572), (231.336936 ∟ 1.344818), (204.341490 ∟ -0.146027), (439.373797 ∟ 3.037597), (119.594221 ∟ 3.057009), (291.387676 ∟ -0.781551), (529.619150 ∟ -1.241367), (677.632480 ∟ 1.981691), (182.151341 ∟ -3.068627), (330.932521 ∟ -2.019306), (430.443312 ∟ -0.731469), (134.204239 ∟ 1.797515), (546.641056 ∟ -0.937133), (246.269726 ∟ 2.633560), (270.403608 ∟ -1.314043), (133.252892 ∟ 2.200748), (113.063895 ∟ 0.640317), (141.452387 ∟ 2.761050), (45.211847 ∟ -3.096883), (342.033299 ∟ -0.728718), (296.272585 ∟ 0.253103), (378.018665 ∟ -1.078512), (527.312157 ∟ 0.626502), (259.160396 ∟ 2.270179), (510.043898 ∟ 0.229535), (461.070614 ∟ -1.623235), (339.017699 ∟ 0.952539), (223.495712 ∟ 0.579557), (149.922573 ∟ -1.135887), (214.532826 ∟ 2.111889), (288.392287 ∟ 2.611637), (331.180213 ∟ -2.349047), (235.673032 ∟ 0.554720), (40.779897 ∟ 1.509453), (440.760076 ∟ -0.771931), (163.811884 ∟ -2.262600), (48.738531 ∟ -1.718375), (584.803481 ∟ 1.837866), (306.881809 ∟ 2.733386), (33.808283 ∟ 0.479216), (205.589667 ∟ -2.595293), (434.038401 ∟ -0.013302), (310.660229 ∟ -0.586947), (307.346891 ∟ 0.009393), (146.471082 ∟ -0.043373), (544.957593 ∟ 0.394176), (133.388322 ∟ -0.390763), (25.534291 ∟ -1.889467), (195.996882 ∟ 0.766634), (49.095146 ∟ 2.505731), (175.751087 ∟ 1.296139), (308.596824 ∟ 1.414619), (366.148573 ∟ 1.290855), (155.500268 ∟ 1.049054), (305.241434 ∟ -1.883837), (200.341653 ∟ -0.362342), (552.585137 ∟ 2.514659), (57.887823 ∟ -2.382617), (226.439347 ∟ 1.077799), (37.860856 ∟ 2.286185), (88.319496 ∟ 2.009311), (58.918965 ∟ -2.040474), (233.636708 ∟ -2.721616), (173.207326 ∟ -1.068866), (298.116495 ∟ -0.887716), (84.475506 ∟ -1.799680), (492.799148 ∟ -2.629155), (303.827254 ∟ -0.878222), (32.186954 ∟ -1.986562), (11.503623 ∟ -2.069298), (49.706919 ∟ -1.617755), (90.277966 ∟ 0.947908), (170.003922 ∟ -2.101187), (132.620176 ∟ -1.286743), (186.907285 ∟ -1.767343), (106.317658 ∟ 0.136181), (150.944066 ∟ -0.945663), (75.921743 ∟ 0.521404), (44.836741 ∟ 1.807174)
2=(0,2)	(66.094209 ∟ -0.113804), (50.732413 ∟ -2.219908), (107.531391 ∟ 0.024163), (257.582996 ∟ -1.114491), (357.443391 ∟ 0.685638), (167.770677 ∟ 2.151207), (188.658716 ∟ -0.749010), (231.103873 ∟ 2.064412), (67.355607 ∟ -0.124612), (21.962089 ∟ 0.569148), (39.884556 ∟ -0.653504), (282.469467 ∟ -3.058718), (293.562789 ∟ -2.458350), (351.743436 ∟ -0.292206), (473.022551 ∟ 0.103321), (382.468735 ∟ -0.087665), (511.302585 ∟ 1.284281), (630.891697 ∟ 2.059155), (203.561893 ∟ 2.560650), (126.570578 ∟ -2.014484), (187.353795 ∟ -1.819775), (454.039768 ∟ 0.916488), (375.695060 ∟ 1.432388), (518.503402 ∟ -1.353732), (98.275689 ∟ -0.896824), (430.038758 ∟ -1.060623), (200.920382 ∟ 1.111897), (708.220618 ∟ 2.797335), (595.295258 ∟ -1.284113), (242.435788 ∟ -1.142600), (151.357193 ∟ -0.381069), (114.612875 ∟ -1.135467), (306.653079 ∟ -0.640719), (1013.665351 ∟ -0.116168), (695.648139 ∟ 1.004027), (329.296388 ∟ -0.902042), (903.248274 ∟ 2.582743), (381.011957 ∟ 1.899971), (720.412922 ∟ -0.751597), (459.762378 ∟ 0.591439), (569.737659 ∟ -0.283469), (414.001610 ∟ 2.477435), (538.270791 ∟ -0.385997), (832.103626 ∟ -2.517678), (917.279008 ∟ -1.236842), (596.168600 ∟ -0.648891), (162.164868 ∟ 0.078406), (173.963917 ∟ 2.448567), (404.933877 ∟ 1.249613), (186.222388 ∟ -1.207551), (341.810051 ∟ 0.211874), (443.283331 ∟ -1.598246), (669.665588 ∟ 1.454055), (266.208565 ∟ 2.925198), (720.717775 ∟ -2.272371), (406.310773 ∟ -1.872326), (411.699459 ∟ 2.222359), (627.365214 ∟ -0.578352), (584.560899 ∟ -0.049898), (264.891382 ∟ 1.418575), (228.742456 ∟ 1.883338), (351.738697 ∟ 0.587136), (763.659246 ∟ 2.521159), (306.535479 ∟ -2.878655), (238.621970 ∟ -0.711895), (398.484351 ∟ 2.066863), (684.960096 ∟ 0.920849), (679.453293 ∟ 0.668585), (161.465167 ∟ 1.203374), (358.731717 ∟ -2.499710), (115.541238 ∟ -0.987199), (342.370332 ∟ -0.983073), (296.173560 ∟ 2.918494), (197.844215 ∟ -0.773873), (278.953600 ∟ -1.717101), (560.229814 ∟ -0.342627), (393.019508 ∟ -3.069549), (530.988177 ∟ 1.012397), (103.403739 ∟ 2.403597), (180.445129 ∟ -0.092922), (18.223916 ∟ -2.934183), (159.049608 ∟ 1.872975), (381.635661 ∟ 0.264804), (453.315686 ∟ -3.088075), (347.984195 ∟ 0.313719), (143.784947 ∟ -1.589344), (471.146592 ∟ 2.216011), (436.608520 ∟ -1.727179), (575.051592 ∟ -2.663223), (3.711843 ∟ -0.156177), (10.728985 ∟ 2.869175), (28.354894 ∟ 1.784012), (22.303463 ∟ -2.700286), (244.875705 ∟ -1.368640), (219.144549 ∟ -2.563208), (147.721961 ∟ 2.067033), (300.269509 ∟ 1.553034), (131.595761 ∟ -1.194707), (49.763887 ∟ 0.210381), (27.382070 ∟ 0.277659)
