ImpossibleImage v1.105.8740.26496
---------------------------------
Computer:        NANOMET01
User:            Lyu
DateTime:        Thursday, 11 January 2024, 10:27:35
Measurement:     G:\group-folder\Users\Zhouping Lyu\measurement\move_zstage00001.iic
StoragePath:     G:\group-folder\Student practicum\student practicum 2023 winter\WFS_data\2024-01-11\10_segm\2024-01-11

Wavefront Shaping
-----------------
Pattern
Phases:              0 ; 2/3pi ; 4/3pi
k-space:             10
k-subspace:          10
Number of Patterns:  300
Spot Grating X:      1
Spot Grating Y:      1
Reference segments:  10
Reference Grating X: 1
Reference Grating Y: 1
Random Seed:         No
ImageConstruct:      5,3,0,25

DMD
---
Active Area:          550x550 at 780,650
BitDepth:             1
DisplayRate [Hz]:     40.0
ExposureTime [ms]:    1.2
UnInterrupted Mode:   NO
SyncDelay [µs]:       0
DutyCycle Modulation: NO
DutyCycle Threshold:  0.0 %

Camera1
-------
Model:                acA2040-120um
DeviceID:             23845526
PixelFormat:          Mono12
Gain:                 0
Region:               {X=272, Y=128, Width=1300, Height=1300}
Binning:              1 x 1

Measurement
-----------
Type:                 Spots
Number of Targets:    5 x 5 = 25
Distance:             160
Diameter:             4
Center:               614, 610
Angle:                45 °
Keep Images:          YES
BigTiff:              YES
Tiff Compression:     YES

Calculated Phases
-----------------
Segment	E_Interference
0=(0,0)	(10.682280 ∟ 1.101271), (22.333333 ∟ -1.473629), (34.226371 ∟ 2.153469), (25.059928 ∟ -0.069171), (39.771570 ∟ -1.119845), (67.414967 ∟ -0.286520), (35.366337 ∟ -3.035281), (146.302199 ∟ -1.851284), (37.404694 ∟ 0.985417), (39.145029 ∟ -1.416914), (29.784411 ∟ 0.772371), (118.082363 ∟ -1.555270), (130.419835 ∟ -0.315067), (167.417973 ∟ 1.440012), (70.192592 ∟ 2.653618), (259.547255 ∟ 2.176793), (66.739127 ∟ -2.480208), (46.884018 ∟ -2.749906), (71.547187 ∟ 1.010877), (17.243356 ∟ -0.878993), (53.120408 ∟ 0.536149), (94.302704 ∟ -0.710253), (129.469430 ∟ -2.411856), (136.568664 ∟ 0.031712), (107.195045 ∟ -0.159563), (110.500377 ∟ 3.138980), (78.922606 ∟ 0.080556), (73.912862 ∟ 2.599954), (117.043202 ∟ -2.247914), (126.787662 ∟ 1.230367), (87.339058 ∟ 1.469485), (98.215749 ∟ -2.215196), (147.669676 ∟ 1.348894), (118.128461 ∟ 0.349176), (136.846629 ∟ 1.457287), (194.198352 ∟ 3.056761), (206.325794 ∟ -2.948719), (122.328792 ∟ -0.173131), (264.453104 ∟ 0.664607), (104.859165 ∟ -1.227110), (26.396549 ∟ 2.440269), (98.061205 ∟ 1.082531), (84.907793 ∟ -0.834813), (44.377171 ∟ -1.296978), (180.831720 ∟ 2.685326), (172.743548 ∟ 2.440501), (90.135084 ∟ 0.118779), (108.274856 ∟ 2.978233), (72.691892 ∟ -2.767582), (86.035522 ∟ -0.127849), (74.180710 ∟ -2.074936), (168.168897 ∟ 2.089245), (80.283525 ∟ -2.148357), (60.695964 ∟ -2.568547), (130.316282 ∟ 0.904946), (97.623426 ∟ 0.050291), (153.577704 ∟ -0.436671), (61.455494 ∟ 0.656881), (131.635861 ∟ 1.340874), (132.048392 ∟ 0.144790), (110.278435 ∟ 0.532667), (10.170764 ∟ 1.018811), (37.554405 ∟ 3.087759), (109.357721 ∟ -2.073276), (49.981108 ∟ -2.775369), (96.238131 ∟ -2.760484), (77.880963 ∟ 1.426919), (123.375218 ∟ 0.245809), (257.291663 ∟ 2.879423), (108.833716 ∟ -0.135691), (42.744720 ∟ 1.539598), (25.912245 ∟ 2.172458), (117.460632 ∟ 0.088591), (60.344382 ∟ -0.019136), (276.823851 ∟ -2.822309), (71.140706 ∟ 0.912887), (144.678955 ∟ -1.901657), (109.485666 ∟ -0.994440), (56.545950 ∟ -2.253323), (87.913468 ∟ -2.868971), (26.641655 ∟ 1.942110), (53.492471 ∟ -1.270303), (148.038659 ∟ -1.099872), (62.520219 ∟ -1.153596), (166.506256 ∟ -2.085726), (167.821665 ∟ -2.202977), (145.194123 ∟ 2.680020), (87.592491 ∟ 1.192720), (122.659420 ∟ -1.817882), (33.318330 ∟ -1.485655), (13.856406 ∟ 2.617994), (1.763834 ∟ 2.808119), (16.271994 ∟ -2.908870), (35.834496 ∟ 2.753286), (110.851753 ∟ -2.328292), (65.965479 ∟ 1.281265), (123.169711 ∟ 0.007031), (24.360715 ∟ -1.094615), (36.739322 ∟ 2.031495), (46.177195 ∟ 2.182028)
1=(0,1)	(28.990420 ∟ -0.615713), (130.400665 ∟ 3.023993), (68.294298 ∟ 0.697747), (206.567987 ∟ 1.390707), (192.540905 ∟ -2.312007), (253.263368 ∟ 2.413220), (204.857945 ∟ 1.405706), (139.384759 ∟ -2.038447), (109.797288 ∟ 2.352273), (6.027714 ∟ -2.190325), (127.942696 ∟ -0.768330), (188.935909 ∟ 2.349248), (62.520219 ∟ -1.899232), (126.714026 ∟ 2.067054), (143.926293 ∟ 0.307695), (160.360358 ∟ 1.613422), (341.389969 ∟ -0.590043), (150.135864 ∟ -1.313761), (91.936572 ∟ -0.949705), (49.481759 ∟ -1.699142), (138.915242 ∟ -1.921049), (244.213704 ∟ 1.859372), (219.235794 ∟ 1.255426), (201.201668 ∟ 0.018653), (474.447515 ∟ 3.026954), (86.209693 ∟ 2.898100), (245.582527 ∟ -0.830392), (464.112534 ∟ -1.297352), (583.642870 ∟ 1.912365), (179.823370 ∟ -2.787488), (299.286002 ∟ -1.903217), (406.722264 ∟ -0.746727), (134.333333 ∟ 1.782041), (508.885383 ∟ -0.931786), (215.743675 ∟ 2.678287), (253.694260 ∟ -1.280294), (113.582569 ∟ 2.286185), (109.462830 ∟ 0.444341), (95.177612 ∟ -3.126427), (60.228269 ∟ -2.953559), (292.795150 ∟ -0.603946), (287.267007 ∟ 0.343349), (345.734002 ∟ -0.982024), (497.642554 ∟ 0.641088), (286.068951 ∟ 2.193450), (486.246280 ∟ 0.174838), (474.986316 ∟ -1.665678), (359.861702 ∟ 0.820653), (226.553158 ∟ 0.401914), (188.437729 ∟ -1.100841), (203.056916 ∟ 2.141327), (249.764556 ∟ 2.595971), (309.613200 ∟ -2.408132), (198.801688 ∟ 0.967248), (101.520113 ∟ 2.114301), (370.797489 ∟ -0.872702), (147.313724 ∟ -2.713173), (54.123316 ∟ -1.328232), (576.010802 ∟ 1.839043), (291.933212 ∟ 2.729552), (52.500794 ∟ 1.041699), (218.586622 ∟ -2.674447), (457.838763 ∟ 0.089653), (325.833461 ∟ -0.667832), (250.277402 ∟ -0.107475), (121.414350 ∟ 0.133542), (514.843773 ∟ 0.391786), (84.303684 ∟ -0.507782), (42.529728 ∟ 2.551324), (185.229887 ∟ 0.812846), (48.041649 ∟ 2.849011), (166.278214 ∟ 1.186536), (344.424318 ∟ 1.416792), (321.466604 ∟ 1.335854), (150.665560 ∟ 0.931983), (392.891136 ∟ -2.060590), (215.196035 ∟ -0.402483), (549.953432 ∟ 2.351809), (78.172885 ∟ -2.694822), (247.676088 ∟ 0.983049), (24.182179 ∟ 2.360137), (81.672109 ∟ 2.501411), (53.407240 ∟ -1.826343), (218.076694 ∟ -2.978045), (210.051052 ∟ -0.986691), (306.151560 ∟ -1.127431), (37.509999 ∟ -2.117485), (567.199064 ∟ -2.809274), (322.101433 ∟ -1.072294), (40.760820 ∟ 2.794735), (29.576642 ∟ 1.927700), (30.388229 ∟ 0.452239), (94.608550 ∟ 0.872387), (147.920399 ∟ -2.416066), (124.676025 ∟ -1.367543), (170.155811 ∟ -1.847596), (116.055064 ∟ 0.154837), (202.618141 ∟ -1.232038), (86.745477 ∟ 1.227882), (20.784610 ∟ 1.570796)
