ImpossibleImage v1.105.8740.26496
---------------------------------
Computer:        NANOMET01
User:            Lyu
DateTime:        Thursday, 11 January 2024, 10:25:14
Measurement:     G:\group-folder\Users\Zhouping Lyu\measurement\move_zstage00001.iic
StoragePath:     G:\group-folder\Student practicum\student practicum 2023 winter\WFS_data\2024-01-11\10_segm\2024-01-11

Wavefront Shaping
-----------------
Pattern
Phases:              0 ; 2/3pi ; 4/3pi
k-space:             10
k-subspace:          10
Number of Patterns:  300
Spot Grating X:      1
Spot Grating Y:      1
Reference segments:  10
Reference Grating X: 1
Reference Grating Y: 1
Random Seed:         No
ImageConstruct:      5,3,0,25

DMD
---
Active Area:          550x550 at 780,650
BitDepth:             1
DisplayRate [Hz]:     40.0
ExposureTime [ms]:    1.2
UnInterrupted Mode:   NO
SyncDelay [µs]:       0
DutyCycle Modulation: NO
DutyCycle Threshold:  0.0 %

Camera1
-------
Model:                acA2040-120um
DeviceID:             23845526
PixelFormat:          Mono12
Gain:                 0
Region:               {X=272, Y=128, Width=1300, Height=1300}
Binning:              1 x 1

Measurement
-----------
Type:                 Spots
Number of Targets:    5 x 5 = 25
Distance:             160
Diameter:             4
Center:               614, 610
Angle:                45 °
Keep Images:          YES
BigTiff:              YES
Tiff Compression:     YES

Calculated Phases
-----------------
Segment	E_Interference
0=(0,0)	(23.779076 ∟ 2.191667), (32.895457 ∟ -1.108665), (39.000000 ∟ 1.609267), (37.257363 ∟ 0.069790), (63.341228 ∟ -0.784408), (77.718152 ∟ -0.564356), (63.172603 ∟ 3.127883), (157.576436 ∟ -2.125544), (46.369291 ∟ 0.258104), (40.414519 ∟ -1.570796), (22.452419 ∟ 0.944158), (115.625833 ∟ -1.622711), (129.275331 ∟ -0.462967), (163.140362 ∟ 1.507414), (93.639972 ∟ 2.453505), (247.832156 ∟ 2.184205), (79.624815 ∟ -2.540470), (46.405220 ∟ -2.765785), (98.167091 ∟ 1.044257), (26.117257 ∟ -1.673078), (46.741606 ∟ 0.333473), (104.381246 ∟ -0.894498), (150.120322 ∟ -2.248845), (137.942420 ∟ 0.039772), (96.095439 ∟ -0.111380), (138.001208 ∟ -2.915854), (72.374796 ∟ -0.075856), (76.956698 ∟ 2.395253), (150.486987 ∟ -2.400313), (126.190773 ∟ 1.315778), (100.339978 ∟ 1.512628), (78.897261 ∟ -2.054137), (165.240229 ∟ 1.409728), (110.941927 ∟ 0.440879), (136.955386 ∟ 1.434073), (193.654618 ∟ 3.017549), (225.255657 ∟ -2.902228), (135.964456 ∟ -0.119179), (251.667329 ∟ 0.737138), (104.010149 ∟ -1.105515), (50.074389 ∟ -3.043431), (126.274833 ∟ 0.904981), (118.111529 ∟ -0.909898), (69.838703 ∟ -0.679347), (196.706493 ∟ 2.652740), (173.468857 ∟ 2.317573), (102.197521 ∟ 0.062183), (122.284277 ∟ 2.881350), (114.548874 ∟ -2.756661), (76.368260 ∟ 0.030245), (82.585309 ∟ -1.975267), (189.246165 ∟ 2.123382), (90.941373 ∟ -2.457867), (73.453689 ∟ -2.344589), (160.178026 ∟ 0.955155), (102.199696 ∟ 0.354827), (156.751396 ∟ -0.526789), (68.339837 ∟ 1.204133), (143.232135 ∟ 1.457685), (153.871158 ∟ 0.069471), (107.286222 ∟ 0.763578), (16.189846 ∟ 2.421129), (44.550845 ∟ 2.749307), (112.481110 ∟ -2.001872), (91.787799 ∟ -2.481386), (85.990310 ∟ -2.799237), (56.026779 ∟ 1.281187), (131.130130 ∟ 0.490547), (253.259638 ∟ 3.073149), (142.824290 ∟ -0.193213), (18.009257 ∟ 2.126459), (16.374099 ∟ -1.117776), (147.018139 ∟ -0.015709), (63.125096 ∟ 0.096183), (251.577026 ∟ -2.719529), (65.016237 ∟ 0.777539), (170.277225 ∟ -1.753873), (129.592952 ∟ -1.009320), (55.570776 ∟ -2.319669), (79.563392 ∟ -3.101671), (24.193663 ∟ 1.362630), (16.343534 ∟ -1.082531), (157.260223 ∟ -1.314711), (80.800853 ∟ -1.172569), (156.698224 ∟ -1.970650), (165.142699 ∟ -2.155615), (166.854561 ∟ 2.784576), (68.372347 ∟ 1.080981), (100.321151 ∟ -1.817507), (27.300794 ∟ -1.195778), (20.550750 ∟ -2.691049), (27.754879 ∟ -2.230022), (28.179977 ∟ 3.110856), (50.001111 ∟ 1.978669), (94.113407 ∟ -2.143492), (62.819848 ∟ 1.288487), (125.698493 ∟ 0.147515), (20.382454 ∟ -0.392391), (51.846997 ∟ 1.932218), (18.657736 ∟ 1.796017)
