Phases,Image,Enhancement,Focus,Background
3.0,0.0,157.04707761516457,2152.5555555555557,13.706434963599117
3.0,1.0,155.51662886621813,2230.222222222222,14.340731524863184
3.0,2.0,176.39082977519067,2591.777777777778,14.693381629197999
3.0,3.0,147.17316616931637,2169.5555555555557,14.741515807708964
3.0,4.0,143.21901350309562,2048.1111111111113,14.300553125
3.0,5.0,163.65151409282848,2363.1111111111113,14.439897633765108
3.0,6.0,179.3819282872445,2690.4444444444443,14.998414110791764
3.0,7.0,162.3745595163524,2352.1111111111113,14.485712035906925
3.0,8.0,185.75644236598515,2677.1111111111113,14.411942202448916
3.0,9.0,160.90396933372864,2375.3333333333335,14.762428442064648
3.0,10.0,166.22914840883666,2556.222222222222,15.377701484310405
3.0,11.0,182.96626154530858,2615.0,14.292252450883893
3.0,12.0,250.51571939152998,3249.0,12.969246033308398
3.0,13.0,181.67410947665658,2499.3333333333335,13.757234536792787
3.0,14.0,151.17569573382877,2175.8888888888887,14.393113114689555
3.0,15.0,175.7496872984862,2550.777777777778,14.51369738966101
3.0,16.0,153.55202876961593,2230.3333333333335,14.524935627386904
3.0,17.0,41.84574443073386,643.4444444444445,15.37658018032206
3.0,18.0,125.17294769260276,1768.7777777777778,14.130671286271113
3.0,19.0,166.83493401800476,2300.1111111111113,13.786747509744478
3.0,20.0,185.55032101487296,2490.1111111111113,13.4201390625
3.0,21.0,88.28293209592985,1349.888888888889,15.290485452183157
3.0,22.0,123.69402352722325,1812.3333333333333,14.651745344304894
3.0,23.0,154.08378535598078,2184.3333333333335,14.176269931887083
3.0,24.0,179.0943531160074,2351.777777777778,13.1315015625
3.0,0.0,144.31257676310818,2027.7777777777778,14.051289383505454
3.0,1.0,154.5742520255546,2151.777777777778,13.92067404228513
3.0,2.0,190.93399719943278,2745.5555555555557,14.379605496279382
3.0,3.0,153.11232613058556,2203.3333333333335,14.390306704988385
3.0,4.0,135.7101485708025,1887.2222222222222,13.906271875
3.0,5.0,169.5123461439208,2399.6666666666665,14.15629434229694
3.0,6.0,165.18048652486448,2423.777777777778,14.673511555573054
3.0,7.0,147.1481843777933,2106.777777777778,14.3173888735777
3.0,8.0,178.66543287657882,2618.4444444444443,14.655573841489822
3.0,9.0,157.96542164804697,2356.0,14.914656482538682
3.0,10.0,180.17560319575668,2703.4444444444443,15.004497814874602
3.0,11.0,180.34887682238684,2522.0,13.9840072443797
3.0,12.0,240.635006446798,3099.4444444444443,12.880272451671326
3.0,13.0,177.95843962273858,2492.222222222222,14.004518288121579
3.0,14.0,166.43135466931784,2405.1111111111113,14.451069727154612
3.0,15.0,168.18939956362803,2434.3333333333335,14.473761959132249
3.0,16.0,150.64794932403404,2146.3333333333335,14.247345171069727
3.0,17.0,56.64619686903876,833.3333333333334,14.711196503799362
3.0,18.0,146.08951120015098,1981.0,13.560179534627348
3.0,19.0,158.64765197141222,2177.6666666666665,13.726434899011773
3.0,20.0,188.86879693384574,2522.5555555555557,13.3561265625
3.0,21.0,118.03534668618973,1780.4444444444443,15.083993858025906
3.0,22.0,149.7065697798495,2116.222222222222,14.135800622071734
3.0,23.0,170.2396412153738,2383.777777777778,14.002483562344974
3.0,24.0,174.95282277556876,2315.5555555555557,13.2353140625
3.0,0.0,123.12323628630136,1755.111111111111,14.254913727494214
3.0,1.0,153.19732490821792,2119.222222222222,13.83328477499114
3.0,2.0,201.02355877882943,2893.777777777778,14.395217134532855
3.0,3.0,167.12287693419435,2389.1111111111113,14.29553604472617
3.0,4.0,124.51985596871471,1785.7777777777778,14.341309375
3.0,5.0,169.4896093042554,2383.4444444444443,14.062481200047246
3.0,6.0,159.08845370936044,2320.777777777778,14.587971179967715
3.0,7.0,132.32018153858178,1937.3333333333333,14.641253592661128
3.0,8.0,174.9573307647008,2500.5555555555557,14.29237371550061
3.0,9.0,145.7522444208398,2191.222222222222,15.033883223748967
3.0,10.0,182.60914423851654,2750.1111111111113,15.060095279341706
3.0,11.0,177.07537693682505,2487.0,14.04486633332021
3.0,12.0,225.18164720510202,2910.1111111111113,12.92339383440293
3.0,13.0,172.79651153410958,2382.1111111111113,13.785643529272805
3.0,14.0,175.9980568185987,2614.0,14.852436710106698
3.0,15.0,164.58617295210732,2344.0,14.241779597621953
3.0,16.0,153.99581984470902,2261.3333333333335,14.68438127485334
3.0,17.0,85.02882422195057,1192.888888888889,14.0292294972243
3.0,18.0,161.66277725010733,2168.0,13.410631914642309
3.0,19.0,154.43344966255472,2113.5555555555557,13.685866372691839
3.0,20.0,186.26451433664076,2451.4444444444443,13.1610921875
3.0,21.0,141.2414960908429,2048.6666666666665,14.504708059372415
3.0,22.0,148.86194422413186,2114.3333333333335,14.203316666010473
3.0,23.0,162.29093911647712,2279.3333333333335,14.04473561951258
3.0,24.0,173.9247267152959,2322.0,13.350603125
3.0,0.0,126.06473211955529,1706.7777777777778,13.538899810290564
3.0,1.0,154.56407766823597,2079.3333333333335,13.45288869640537
3.0,2.0,201.5150580150196,2830.222222222222,14.044718295995905
3.0,3.0,168.67044871223143,2363.777777777778,14.014178510965
3.0,4.0,91.4056568095523,1325.6666666666667,14.5031140625
3.0,5.0,172.16639313522492,2367.222222222222,13.749618488916887
3.0,6.0,150.01319039785778,2122.777777777778,14.15060750423245
3.0,7.0,59.951464769191055,925.6666666666666,15.440267727075868
3.0,8.0,185.96095376742855,2628.5555555555557,14.134986416788063
3.0,9.0,54.30529806912303,819.6666666666666,15.093677703846609
3.0,10.0,164.9240520105869,2427.5555555555557,14.719233040670893
