,index,focus_intensity,background_intensity,focus_std,background_std,centre_distance,phase
0,0,2215.2972972972975,13.160738888223314,11.202033681641186,0.0097564962876828,453,3
1,1,2301.6486486486488,13.643859427681459,8.970710901469552,0.010610683567697702,357,3
2,2,2727.0810810810813,13.325479428023755,9.20938784675045,0.010296994475393737,320,3
3,3,2184.5405405405404,13.630566585086173,9.489034430646592,0.010476387133318667,357,3
4,4,2092.189189189189,13.748400836913177,7.420761139644302,0.010565006393587357,453,3
5,5,2411.5135135135133,13.563407083811121,9.55890748863931,0.010142717726824395,357,3
6,6,2808.5945945945946,13.16051532629345,11.141919965182502,0.01055553960144074,226,3
7,7,2441.5405405405404,13.033721482483013,5.9519128039399485,0.010976046729898815,160,3
8,8,2671.864864864865,12.75680740728063,14.4324912521406,0.01041006372927944,226,3
9,9,2447.054054054054,13.689721713532663,7.802712152883364,0.010200418563711922,357,3
10,10,2648.945945945946,13.722249439490664,9.103330685947592,0.01127971025542821,320,3
11,11,2651.945945945946,12.854910446867137,9.940873114812426,0.01019524516114835,160,3
12,12,3260.108108108108,11.3329810539287,11.591209975580808,0.009246958626931173,0,3
13,13,2528.810810810811,12.372393203717332,6.367356239075421,0.010142876321589884,160,3
14,14,2239.7027027027025,13.150651859521814,9.434319091489133,0.009852704434761836,320,3
15,15,2559.972972972973,13.557042521692996,7.902111717326828,0.010408838477901633,357,3
16,16,2298.4324324324325,13.183893058241626,5.500453602457149,0.010156549196174047,226,3
17,17,670.6216216216217,13.866322802033237,3.7072080208019025,0.010872409082469552,160,3
18,18,1777.1351351351352,12.68852581765904,6.82347194699927,0.009857726612430001,226,3
19,19,2320.2702702702704,12.960141796025946,6.821703928129054,0.009680385027617538,357,3
20,20,2476.6216216216217,13.227217006965718,9.274748847363332,0.009760267584877465,453,3
21,21,1346.945945945946,14.401874497253077,5.622004397824146,0.01167005091029637,357,3
22,22,1834.0,13.17933089732838,9.381921598762045,0.010031426577967639,320,3
23,23,2224.4324324324325,13.358154769035924,10.457576514676918,0.010487977620286006,357,3
24,24,2409.4864864864867,13.291455227712266,10.050829301328502,0.009970853691530345,453,3
25,0,2046.2972972972973,13.40387157918157,8.703698521577714,0.009851377427388739,453,3
26,1,2167.5135135135133,13.464739256191274,6.7440552640716565,0.010727809295570153,357,3
27,2,2820.2432432432433,13.088677069605847,9.758022333536896,0.01001898922855363,320,3
28,3,2309.3783783783783,13.409700234472608,6.677956865010755,0.010186422711494534,357,3
29,4,1937.5405405405406,13.510916026288315,6.240679781972235,0.010114823751780168,453,3
30,5,2500.054054054054,13.34632631056496,9.30341925612782,0.009904277035649351,357,3
31,6,2522.5675675675675,13.132107985760495,7.524349617515401,0.010196066536685562,226,3
32,7,2154.5405405405404,12.945648778859812,6.977224201096458,0.010799125660332679,160,3
33,8,2583.2162162162163,12.65734695100036,13.728087534005686,0.010181278974835855,226,3
34,9,2445.3513513513512,13.806962296120078,7.189922358084982,0.010961701190865201,357,3
35,10,2784.324324324324,13.40317201218573,10.750918832361963,0.010741604241098069,320,3
36,11,2588.5675675675675,12.48914066644988,9.088923619698042,0.009833110304530783,160,3
37,12,3111.6486486486488,11.31507256670489,13.687966713442398,0.00897800026713073,0,3
38,13,2509.5135135135133,12.371736423693713,9.103786096343597,0.010298998753575456,160,3
39,14,2463.4864864864867,13.18460439165483,6.816023490172644,0.01010614295695108,320,3
40,15,2506.0810810810813,13.521488687124544,8.064964347837474,0.010410831259619264,357,3
41,16,2176.945945945946,13.004838136884082,6.804796351891601,0.009748884460854404,226,3
42,17,845.4864864864865,13.261480814321656,5.247229137187264,0.010383274337810396,160,3
43,18,1985.4054054054054,12.370654982970786,10.110453511640502,0.009463170546540965,226,3
44,19,2187.2972972972975,12.709445438053022,6.082806345636606,0.009520469566130108,357,3
45,20,2538.7297297297296,13.044070581389379,9.789355487465395,0.009820676728923875,453,3
46,21,1826.4324324324325,14.209290335278714,5.715885945418964,0.011491038382590817,357,3
47,22,2152.5405405405404,12.924669256704718,10.32259746380241,0.01022950723113606,320,3
48,23,2376.135135135135,13.196364390970237,10.6413860651755,0.010173390788971347,357,3
49,24,2343.4054054054054,13.348600438138595,8.257582518044096,0.010313361502785225,453,3
50,0,1740.4054054054054,13.655257877081587,9.177453512395651,0.009975334615780904,453,3
51,1,2118.5135135135133,13.318850656352154,7.9615237649449515,0.010245674772559488,357,3
52,2,2889.7567567567567,13.119469783840216,8.460832753171788,0.010276436079646048,320,3
53,3,2400.4864864864867,13.15831179722398,7.669260892160714,0.010106564623945163,357,3
54,4,1797.162162162162,13.777239256191274,7.4036803587086135,0.010491505451279092,453,3
55,5,2426.2702702702704,13.276031593900289,9.20107725841587,0.010135455788094248,357,3
56,6,2358.5675675675675,13.170991716442177,7.556124605324573,0.010351431212947071,226,3
57,7,1980.8108108108108,13.082278277909943,8.495505436358295,0.01107037841711262,160,3
58,8,2503.9189189189187,12.583496636943984,11.966374753074257,0.009947644292289433,226,3
59,9,2235.945945945946,13.781508326344795,7.918775567925452,0.010819771986475081,357,3
60,10,2838.0,13.435649463451368,9.258640565862276,0.01072658175936822,320,3
61,11,2561.2162162162163,12.606570581389379,8.80485083906736,0.010229214259462414,160,3
62,12,2918.945945945946,11.367134684831163,11.819926344784161,0.008853372405762425,0,3
63,13,2368.054054054054,12.183566807578428,8.988341279503349,0.010131037090213933,160,3
64,14,2656.9189189189187,13.291034845710179,7.912725036260079,0.0101287753039358,320,3
65,15,2473.0,13.462408435879443,6.181690252306122,0.010573775305805458,357,3
66,16,2275.6216216216217,13.053619563915179,8.337682450814667,0.009730243223643839,226,3
67,17,1232.4054054054054,12.908150276403841,3.7272728804824484,0.010420885456539249,160,3
68,18,2143.6216216216217,12.154596818360746,12.40716300046133,0.009258479154980077,226,3
69,19,2158.5405405405404,12.725582544626812,6.291041387974458,0.009698157074082591,357,3
70,20,2434.2432432432433,12.979251527494908,11.742825259591092,0.009417427927954662,453,3
71,21,2082.5135135135133,13.70113727772168,6.200169843996779,0.010885251229708213,357,3
72,22,2146.7297297297296,12.942248284242414,9.226050760481815,0.00987873021389642,320,3
73,23,2310.5675675675675,13.314911045884749,8.991233498551756,0.010119039411661097,357,3
74,24,2338.5945945945946,13.528997800749627,8.704000193647433,0.010533692438000895,453,3
75,0,1731.2972972972973,13.170203366478974,8.029152950335149,0.009759641347976546,453,3
76,1,2188.945945945946,12.986357373906793,10.56241292310326,0.009914254128161099,357,3
77,2,2905.162162162162,12.77010452857314,6.920873194602575,0.00985765119783963,320,3
78,3,2507.2702702702704,12.870884962946482,7.3536014688995746,0.009859409223613108,357,3
79,4,1351.5405405405406,13.809047091341629,5.316374170779561,0.010639599298386121,453,3
80,5,2387.054054054054,12.90915683992538,8.241776204941436,0.00946933582171455,357,3
81,6,2229.4864864864867,12.706205394581458,7.599990544535045,0.009649670166879993,226,3
82,7,944.9459459459459,13.37640448236321,3.7989937435804317,0.013003705594626328,160,3
83,8,2637.027027027027,12.142508429033528,11.78214013372497,0.00968974837058391,226,3
84,9,864.3513513513514,14.17385095586096,3.4446931938463705,0.011133272921740208,357,3
85,10,2456.5675675675675,13.444601567714662,10.567915978257348,0.010631004186941398,320,3
86,11,2449.4054054054054,12.476325968269181,5.626486909646711,0.010281867785454799,160,3
87,12,2795.108108108108,11.130585839223674,11.963652267553545,0.008789822225946316,0,3
88,13,2241.7027027027025,11.932480018483972,6.745056341297863,0.009717623178503165,160,3
89,14,2568.4864864864867,12.922462518612333,9.850943277176109,0.009763295905082528,320,3
90,15,2191.027027027027,13.268071077718256,7.152465285400227,0.010145631835230085,357,3
91,16,2064.891891891892,12.71819858289548,7.225551587224349,0.010380214729697095,226,3
92,17,2144.945945945946,12.386221953139708,9.278811442011321,0.009558561818827114,160,3
93,18,2338.162162162162,12.050258647247086,9.95303166469897,0.009317324439374868,226,3
94,19,2152.027027027027,12.3904471666467,4.836325671338708,0.009375822264885599,357,3
95,20,2195.2162162162163,12.767004612435606,7.333158642984462,0.009227471241006195,453,3
96,21,2117.6216216216217,12.979617356107413,7.500216831669727,0.009944449959969853,357,3
97,22,2067.675675675676,12.67660429752349,6.265731588257724,0.00981413802347965,320,3
98,23,1726.837837837838,13.142416437043249,7.965549775072516,0.009796885684328826,357,3
99,24,1438.027027027027,13.329668272604357,4.938997701983612,0.0103884086013473,453,3
100,0,1549.972972972973,13.621556718410378,7.163486515648507,0.0099850745495465,453,4
101,1,2075.2702702702704,13.313260538431258,9.042602572469704,0.010083177920058582,357,4
102,2,2814.3783783783783,12.986414066644988,11.22785793431065,0.009758093897149918,320,4
103,3,2392.891891891892,13.053622772938096,8.84736107984256,0.009651576471655342,357,4
104,4,1710.4054054054054,13.52554168306834,6.564114258320652,0.010194211754773851,453,4
105,5,2361.0810810810813,13.155497484126034,11.568917474807312,0.009754382718841968,357,4
106,6,2134.3513513513512,12.987950118947783,7.539641156885629,0.010306168621107234,226,4
107,7,1717.7837837837837,13.224884047305277,6.263642248904173,0.011044429488243994,160,4
108,8,2495.4324324324325,12.432530293176333,13.542754339206528,0.009857730284328708,226,4
109,9,2115.7027027027025,13.719905783087166,9.42905266366708,0.011115134888613206,357,4
110,10,2796.3513513513512,13.31941865340841,9.700046027634444,0.010583688532985762,320,4
111,11,2449.2972972972975,12.544106950315769,9.845175824713595,0.01003631773339711,160,4
112,12,2923.2432432432433,11.152508814116278,10.645177470010248,0.008933656031313962,0,4
113,13,2357.027027027027,12.100863868969176,9.597942810267702,0.010185397686298529,160,4
114,14,2559.324324324324,12.806383602320766,12.266403370567026,0.009961434850281703,320,4
115,15,2303.891891891892,13.417417934587277,7.553634256457413,0.010218922540050754,357,4
116,16,2152.4594594594596,12.73428541477691,6.513524121847882,0.009724230888317325,226,4
117,17,1397.7837837837837,12.655730673124648,5.493622723521627,0.009950977386685418,160,4
118,18,2114.2432432432433,11.97343998699276,14.05589413138084,0.009059724634861025,226,4
119,19,2068.108108108108,12.730770465008813,7.071458676033016,0.009496612330206981,357,4
120,20,2384.2432432432433,12.664212120693492,11.682956026307934,0.00943789459962679,453,4
121,21,2195.4054054054054,13.524028093925962,6.284636322226091,0.010362682498438977,357,4
122,22,2208.5945945945946,12.796930890482466,8.054730559241039,0.009926799957487948,320,4
123,23,2267.7297297297296,13.090509421691284,8.998632202584067,0.01012731137950063,357,4
124,24,1951.7567567567567,13.42824517790823,10.003608217219975,0.0104107631347956,453,4
125,0,1577.945945945946,13.32997419945575,7.1716862678140885,0.009697796699161546,453,4
126,1,2118.972972972973,13.21346634376765,7.660957194587814,0.009927560629282009,357,4
127,2,2882.675675675676,12.714920031148916,8.522822371413062,0.009897873165612822,320,4
128,3,2432.135135135135,13.12734044738058,7.616460027379283,0.010005142258739433,357,4
129,4,1593.162162162162,13.508848345855654,6.531657303810759,0.010074628557220688,453,4
130,5,2414.7297297297296,13.161980780092078,8.981406704790572,0.009792984537658448,357,4
